Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),,2815,,,2651,3503,,
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),2871,2820,,,2651,3480,,
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),2871,2820,,,2651,3480,,
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),2820,2815,,2968,2660,,,
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),2819,2815,,,2656,3491,,
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),2831,2805,,,2658,3501,,
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),,2832,,,,3477,,
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),2833,2817,,,,3482,,
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),2852,2806,,,,3471,,
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",2838,2800,,,,3492,,
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),2840,2834,,,,3489,,
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),2831,2789,,,2653,3474,,
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),2832,2791,,,2653,3469,,
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",2824,2790,,,2650,3455,,
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),2827,2802,,,2659,3466,,
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),2828,2813,,,2650,3466,,
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),2819,2819,,,2660,3473,,
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",2824,2782,,2962,2649,3470,,
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),2834,2799,,,2652,3464,,
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),2834,2799,,2965,2652,,,
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),2823,3768,2656,,3619,,,
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),2836,3770,2663,2960,3619,,,
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),2820,3763,2663,,3633,,,
5750b9e3,2025-06-20,gcycle update (#2747),2826,3763,2661,,3620,,,
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),,3755,2663,,3620,,,
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",2821,3756,2664,2964,3621,,,
43f2c3bd,2025-06-04,Urgent Documentation Update for HSD Capability Announcement  (#2765),2817,3754,2654,,3621,,,
f22b2e11,2025-06-02,Bug fix for surface roughness calculation over lakes and sea ice points when wave model is turned on (#2739),2817,3754,2654,,3621,,,
aebf9781,2025-05-27,Fix bug to improve wave initialization by saving location/weights for point output (#2737),2828,3696,2657,,3623,,,
4cbe50f4,2025-05-23,"Add idealized, regional tropical cyclone test to tests-dev (#2693)",2824,3727,2657,,3618,,,
269e181a,2025-05-23,Add GFSv17 IAU restart tests without waves + Add tags to stoch physics int variables + Fix filepath in user's guide (#2691),2824,3727,2657,,3618,,,
68fd7faa,2025-05-15,"Enable Hera, Hercules Gnu tests: cpld_debug_p8_gnu and cpld_control_p8_gnu + revert MOM6 ISO code #2729 (#2694)",2824,3755,2658,,3624,,,
1c5a9f12,2025-05-09,"Add ""ultra low"" coupled configurations to RTs (Reopen #2564); update inputdata; clean up misc items in multiple test configurations (#2663)",2824,3741,2658,,3624,,,
aba31a4e,2025-05-06,Resolve miscellaneous WM issues and update documentation (#2633),2823,3744,2658,,3617,,,
b81282e5,2025-05-05,Switch to vector remapping and bilinear interpolation for global coupled configurations (#2690),2823,3744,2658,,3617,,,
5a297a6e,2025-05-02,improve coupled model startup cost for waves; Add switch to disable InfoBroadcast in fv3 cap run phase2 (was #2721) (#2715),2835,3729,2662,,3631,,,
ff162f36,2025-05-01,NSSL MP scheme updates + Stochastic Physics CI/CD & Unit Test (#2661),2819,3733,2650,,3613,,,
9e4778cd,2025-04-25,Loosen restriction on optional arguments in CCPP Framework (#2573),2824,3737,2662,,3614,,,
4a566203,2025-04-23,CMake Atmosphere Dycore Generalization + Fix for JEDI cubed sphere grid #2708 (#2604),2815,3745,2656,,3615,,,
4f0111b2,2025-04-21,Add CMEPS log file at restart write; IAU Tags for Global Workflow (was #2674) (#2698),2829,3734,2661,,3613,,,
c0d4de3c,2025-04-18,Update mom6 to its main repository 20250411 commit (#2697),2827,3730,2666,,3615,,,
7cc588ae,2025-04-16,Add PIO configuration variables for CMEPS + Update CCPP framework and physics CMakeLists.txt; forward ccpp-framework to HEAD of main #2659 (#2695),2821,3768,2652,,3628,,,
9b9a6304,2025-04-11,Memcheck fixes (#2655),2823,3761,2658,,3626,,,
4e75e7b4,2025-04-10,Update upp submodule to the latest UPP (#2682),2821,3769,2659,,3614,,,
69d03840,2025-04-07,Use ESMF Redist instead of Remap for FV3 history bundles with 'cubed_sphere_grid' output grid (#2595),2827,3733,2661,,3614,,,
0d1af3e3,2025-04-02,"Convert GFS DDTs from blocked data structures to contiguous arrays: Part Deux  + CCPP updates in fv3atm/ccpp-physics: split physics in two groups, reset GFS_interstitial DDT in CCPP_driver.F90 #2651 + Hera move spack-stack to /contrib #2579 (#2610)",2831,3763,2661,,3615,,,
