Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),,804,740,,872,714,882,889
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),911,807,748,,872,713,893,890
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),911,807,748,,872,713,893,890
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),908,806,750,793,874,,894,888
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),906,810,750,,874,712,896,882
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),914,805,748,,874,712,892,887
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),,808,748,,,712,895,888
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),910,803,751,,,712,895,889
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),907,810,746,,,711,895,888
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",903,806,749,,,714,895,885
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),907,805,749,,,711,894,885
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),909,811,,,874,714,893,883
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),905,806,,,874,713,893,884
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",907,808,743,,873,714,892,884
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),904,804,747,,872,712,890,887
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),917,805,,,871,712,890,884
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),913,797,,,871,713,892,881
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",911,809,749,793,873,712,889,884
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),921,812,750,,873,713,889,883
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),921,812,750,791,873,,889,883
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),908,810,747,,877,,883,888
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),913,803,744,794,879,,883,885
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),909,807,746,,881,,879,882
5750b9e3,2025-06-20,gcycle update (#2747),914,804,752,,884,,886,882
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),,804,749,,884,,873,883
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",914,806,753,,883,,875,881
43f2c3bd,2025-06-04,Urgent Documentation Update for HSD Capability Announcement  (#2765),912,807,752,,883,,874,881
f22b2e11,2025-06-02,Bug fix for surface roughness calculation over lakes and sea ice points when wave model is turned on (#2739),912,807,752,,883,,874,881
aebf9781,2025-05-27,Fix bug to improve wave initialization by saving location/weights for point output (#2737),909,795,744,,880,,883,880
4cbe50f4,2025-05-23,"Add idealized, regional tropical cyclone test to tests-dev (#2693)",911,787,744,,883,,873,882
269e181a,2025-05-23,Add GFSv17 IAU restart tests without waves + Add tags to stoch physics int variables + Fix filepath in user's guide (#2691),911,787,744,,883,,873,882
68fd7faa,2025-05-15,"Enable Hera, Hercules Gnu tests: cpld_debug_p8_gnu and cpld_control_p8_gnu + revert MOM6 ISO code #2729 (#2694)",911,804,746,,882,,885,882
1c5a9f12,2025-05-09,"Add ""ultra low"" coupled configurations to RTs (Reopen #2564); update inputdata; clean up misc items in multiple test configurations (#2663)",911,697,746,,882,,885,882
