Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
42c7a0ad,2025-09-22,Send surface ocean currents to ATM for SFS test (#2689),719,679,799,831,,1095,780,783
db4e2d0f,2025-09-18,Replace icplocn2atm (integer) with use_oceanuv (logical); Update cloud build env to remove gnu from stack (was #2842) (#2867),714,672,799,824,,1083,783,782
990ca94c,2025-09-16,Update tests such that LSM and LANDICE are set appropriately (#2772),716,682,797,823,,1090,780,782
d3caf3e5,2025-09-15,update mom6 to its main repo. 20250818 commit (#2866),716,812,797,824,,1102,780,781
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),713,671,796,830,,1095,786,781
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),715,676,790,823340,,1112,779,783
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),712876,673,799,925472,669,1123,778,781
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),709,676,795,823340,669,1114,778,782
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),709,676,795,823340,669,1114,778,782
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),711,678,787,821,663,1130152,780,785
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),717,673,788,826568,667,1106,780,784
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),718,671,791,825756,668,1107,781,774
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),714200,679,789,825860,669892,1104,780,779
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),830,669,790,826404,673452,1110,780,778
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),830,674,791,825404,671204,1101,783,780
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",700,655,781,810696,659504,1073,768,769
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),668,655,788,809412,659184,1068,769,770
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),702,658,788944,810736,,1059,769,765
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),704,660,786084,810612,663,1057,769,768
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",701,662,785,809132,658,1069,771,766
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),699,661,789,812484,655,1071,771,768
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),703,655,785704,806264,660,1090,771,759
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),703,652,781800,900124,661,1070,767,763
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",698,648,785,801,657,1063,768,765
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),704,653,786,812848,656,1081,764,764
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),704,653,786,806,656,,764,764
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),708,721,798,820544,670,,777,775
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),706,731,798,785,672,,776,772
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),705,729,794,809728,665,,772,775
5750b9e3,2025-06-20,gcycle update (#2747),660,726,793,769532,663,,774,773
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),659900,722,797,776208,663,,775,776
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",665,725,793,811204,,,772,775
43f2c3bd,2025-06-04,Urgent Documentation Update for HSD Capability Announcement  (#2765),699,729,796,806136,664,,769,777
f22b2e11,2025-06-02,Bug fix for surface roughness calculation over lakes and sea ice points when wave model is turned on (#2739),699,729,796,806136,664,,769,777
aebf9781,2025-05-27,Fix bug to improve wave initialization by saving location/weights for point output (#2737),663,708,798,813480,670,,775,775
