Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),,395,528,,739,271,872,873
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),792,408,518,,739,271,871,869
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),792,408,518,,739,271,871,869
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),779,390,514,332,729,,866,889
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),832,391,517,,756,269,876,880
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),945,381,525,,734,274,880,884
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),,383,521,,,270,863,897
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),771,393,515,,,264,862,884
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),792,392,526,,,273,855,862
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",792,390,521,,,294,1039,860
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),802,386,519,,,270,873,854
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),798,394,,,739,269,872,859
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),772,394,,,739,273,863,862
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",795,398,516,,727,301,855,863
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),800,515,516,,729,275,900,857
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),791,379,,,728,267,854,858
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),792,468,,,728,267,856,855
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",781,423,516,361,723,358,853,867
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),1004,398,514,,756,268,856,864
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),1004,398,514,337,756,,856,864
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),801,398,521,,731,,848,862
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),921,397,510,356,728,,860,859
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),801,390,521,,732,,859,851
5750b9e3,2025-06-20,gcycle update (#2747),822,385,651,,721,,864,857
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),,397,519,,728,,854,873
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",796,399,519,,753,,857,856
43f2c3bd,2025-06-04,Urgent Documentation Update for HSD Capability Announcement  (#2765),832,391,523,,753,,856,865
f22b2e11,2025-06-02,Bug fix for surface roughness calculation over lakes and sea ice points when wave model is turned on (#2739),832,391,523,,753,,856,865
aebf9781,2025-05-27,Fix bug to improve wave initialization by saving location/weights for point output (#2737),902,395,528,,725,,852,869
4cbe50f4,2025-05-23,"Add idealized, regional tropical cyclone test to tests-dev (#2693)",847,402,516,,727,,854,874
269e181a,2025-05-23,Add GFSv17 IAU restart tests without waves + Add tags to stoch physics int variables + Fix filepath in user's guide (#2691),847,402,516,,727,,854,874
68fd7faa,2025-05-15,"Enable Hera, Hercules Gnu tests: cpld_debug_p8_gnu and cpld_control_p8_gnu + revert MOM6 ISO code #2729 (#2694)",788,392,519,,731,,860,848
1c5a9f12,2025-05-09,"Add ""ultra low"" coupled configurations to RTs (Reopen #2564); update inputdata; clean up misc items in multiple test configurations (#2663)",788,808,519,,731,,860,848
aba31a4e,2025-05-06,Resolve miscellaneous WM issues and update documentation (#2633),805,815,513,,732,,858,839
b81282e5,2025-05-05,Switch to vector remapping and bilinear interpolation for global coupled configurations (#2690),805,815,513,,732,,858,839
5a297a6e,2025-05-02,improve coupled model startup cost for waves; Add switch to disable InfoBroadcast in fv3 cap run phase2 (was #2721) (#2715),911,823,525,,736,,849,851
ff162f36,2025-05-01,NSSL MP scheme updates + Stochastic Physics CI/CD & Unit Test (#2661),806,814,520,,730,,870,836
9e4778cd,2025-04-25,Loosen restriction on optional arguments in CCPP Framework (#2573),786,813,524,,753,,854,839
4a566203,2025-04-23,CMake Atmosphere Dycore Generalization + Fix for JEDI cubed sphere grid #2708 (#2604),802,817,522,,723,,867,837
4f0111b2,2025-04-21,Add CMEPS log file at restart write; IAU Tags for Global Workflow (was #2674) (#2698),793,842,519,,739,,865,845
c0d4de3c,2025-04-18,Update mom6 to its main repository 20250411 commit (#2697),776,837,513,,731,,864,841
7cc588ae,2025-04-16,Add PIO configuration variables for CMEPS + Update CCPP framework and physics CMakeLists.txt; forward ccpp-framework to HEAD of main #2659 (#2695),800,822,518,,724,,869,847
9b9a6304,2025-04-11,Memcheck fixes (#2655),816,813,544,,723,,871,842
4e75e7b4,2025-04-10,Update upp submodule to the latest UPP (#2682),789,830,518,,728,,855,836
69d03840,2025-04-07,Use ESMF Redist instead of Remap for FV3 history bundles with 'cubed_sphere_grid' output grid (#2595),793,816,519,,738,,860,835
0d1af3e3,2025-04-02,"Convert GFS DDTs from blocked data structures to contiguous arrays: Part Deux  + CCPP updates in fv3atm/ccpp-physics: split physics in two groups, reset GFS_interstitial DDT in CCPP_driver.F90 #2651 + Hera move spack-stack to /contrib #2579 (#2610)",792,824,519,,736,,846,842
6ece76a2,2025-03-28,Update WW3  by merging develop  as of 2025-03-20 (#2669),810,822,508,,726,,860,841
c5f801e4,2025-03-27,Sync CDEPS and CMEPS to ESCOMP (#2664),802,822,521,,732,,855,839
f7d8b0cd,2025-03-26,"Add support for FV3 native grid (cubed sphere) to history and restart write netcdf routines + Add new cmake variable UFS_COMPILER_SUITE to support mixed Intel compilers (icx, icpx, ifort) #2504 (#2591)",803,829,516,,732,,853,841
a8c1628d,2025-03-24,Introduce prognostic updraft velocity to saSAS and C3 convection schemes (#2567),802,852,511,,737,,855,840
